date,precip,
2025-01-上旬,3.72,
2025-01-中旬,1.32,
2025-01-下旬,2.69,7.73
2025-02-上旬,3.19,
2025-02-中旬,7.94,
2025-02-下旬,7.44,18.57
2025-03-上旬,7.63,
2025-03-中旬,3.53,
2025-03-下旬,3.85,15.01
2025-04-上旬,10.24,
2025-04-中旬,19.91,
2025-04-下旬,18.59,48.74
2025-05-上旬,21.02,
2025-05-中旬,17.95,
2025-05-下旬,26.67,65.64
2025-06-上旬,17.25,
2025-06-中旬,32.08,
2025-06-下旬,68.08,117.41
2025-07-上旬,99.58,
2025-07-中旬,93.55,
2025-07-下旬,74.01,267.14
2025-08-上旬,59.47,
2025-08-中旬,67.94,
2025-08-下旬,50.46,177.87
2025-09-上旬,16.91,
2025-09-中旬,41.86,
2025-09-下旬,20.46,79.23
2025-10-上旬,10.21,
2025-10-中旬,8.22,
2025-10-下旬,7.84,26.27
2025-11-上旬,11.07,
2025-11-中旬,11.49,
2025-11-下旬,13.75,36.31
2025-12-上旬,3.09,
2025-12-中旬,3.3,
2025-12-下旬,4.01,10.4
